top - 16:53:30 up 26 min,  1 user,  load average: 22,32, 12,47, 5,66
Tareas: 387 total,   3 ejecutar,  384 hibernar,    0 detener,    0 zombie
%Cpu(s): 62,7 usuario, 37,3 sist,  0,0 adecuado,  0,0 inact,  0,0 en espera,  0,0 hardw int,  0,0 softw int,  0,0 robar tiempo
MiB Mem :  31971,6 total,  20311,7 libre,   6414,9 usado,   5244,9 búfer/caché
MiB Intercambio:   2048,0 total,   2048,0 libre,      0,0 usado.  24984,1 dispon Mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
  10664 diego     20   0 1354752 208560  24620 R 673,3   0,6  22:42.59 python3
    175 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mld
    176 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_addrconf
    179 root      20   0       0      0      0 I   0,0   0,0   0:00.67 kworker/0:4-events
    189 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
    193 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 zswap-shrink
    197 root      20   0       0      0      0 I   0,0   0,0   0:00.75 kworker/3:2-events
    198 root      20   0       0      0      0 I   0,0   0,0   0:00.30 kworker/4:2-events
    199 root      20   0       0      0      0 I   0,0   0,0   0:00.67 kworker/5:2-events
    202 root      20   0       0      0      0 I   0,0   0,0   0:00.31 kworker/8:2-rcu_gp
    203 root      20   0       0      0      0 I   0,0   0,0   0:00.22 kworker/9:2-rcu_par_gp
    204 root      20   0       0      0      0 I   0,0   0,0   0:00.72 kworker/10:2-events
    205 root      20   0       0      0      0 I   0,0   0,0   0:00.79 kworker/11:2-events
    206 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/u65:0
    213 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 charger_manager
    245 root       0 -20       0      0      0 I   0,0   0,0   0:00.02 kworker/4:1H-kblockd
    272 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker/1:1H-kblockd
    280 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_0
    281 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tmf_0
    282 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_1
    283 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tmf_1
    284 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_2
    285 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tmf_2
    286 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_3
    287 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tmf_3
    288 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_4
    289 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tmf_4
    290 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_5
    291 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tmf_5
    295 root      20   0       0      0      0 I   0,0   0,0   0:00.54 kworker/u64:6-events_unbound
    302 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker/6:1H-kblockd
    303 root       0 -20       0      0      0 I   0,0   0,0   0:00.14 kworker/7:1H-kblockd
    306 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker/3:1H-kblockd
    307 root       0 -20       0      0      0 I   0,0   0,0   0:00.03 kworker/8:1H-kblockd
